key,ar,en,fr,ge,ja,ko,po,sp,tu,ta
Clan.War.Battle.AlreadyDefeated,هزمت عشيرتك هذا الخصم بالفعل. لم تُمنح أي نقاط.,This enemy was already defeated by your clan. No points awarded.,Cet ennemi a déjà été vaincu par votre clan. Aucun point attribué.,Dieser Gegner wurde bereits von deinem Clan besiegt. Keine Punkte erhalten.,この敵はすでにクランによって撃破されています。ポイントは付与されません。,이 적은 이미 클랜이 처치했습니다. 포인트가 지급되지 않습니다.,Este inimigo já foi derrotado pelo seu clã. Nenhum ponto concedido.,Tu clan ya había derrotado a este enemigo. No se otorgaron puntos.,Bu düşman klanın tarafından zaten yenilmişti. Puan verilmedi.,Questo nemico è già stato sconfitto dal tuo clan. Nessun punto assegnato.
Clan.War.Battle.PointsAwarded,حصلت على +{0} من نقاط المساهمة!,+{0} Contribution Points earned!,+{0} points de contribution gagnés !,+{0} Beitragspunkte verdient!,貢献ポイント +{0} を獲得！,기여 포인트 +{0} 획득!,+{0} pontos de contribuição ganhos!,¡+{0} puntos de contribución ganados!,+{0} Katkı Puanı kazanıldı!,+{0} punti contributo ottenuti!
Clan.War.Battle.ResultPending,ستتم مزامنة النتيجة عند استعادة الاتصال.,Result will be synced when the connection recovers.,Le résultat sera synchronisé une fois la connexion rétablie.,"Das Ergebnis wird synchronisiert, sobald die Verbindung wiederhergestellt ist.",接続が回復すると結果が同期されます。,연결이 복구되면 결과가 동기화됩니다.,O resultado será sincronizado quando a conexão for restaurada.,El resultado se sincronizará cuando se recupere la conexión.,"Sonuç, bağlantı düzeldiğinde eşitlenecek.",Il risultato verrà sincronizzato quando la connessione sarà ripristinata.
Clan.War.Button.DaysResults,الأيام والنتائج,Days & Results,Jours et résultats,Tage & Ergebnisse,日程と結果,일자 및 결과,Dias e resultados,Días y resultados,Günler ve Sonuçlar,Giorni e risultati
Clan.War.Button.Leaderboard,لوحة الصدارة,Leaderboard,Classement,Rangliste,ランキング,리더보드,Classificação,Clasificación,Sıralama,Classifica
Clan.War.Button.Rewards,المكافآت,Rewards,Récompenses,Belohnungen,報酬,보상,Recompensas,Recompensas,Ödüller,Ricompense
Clan.War.ClanLeaderboard.NoLeader,لا توجد عشيرة بطلة بعد,No champion clan yet,Pas encore de clan champion,Noch kein Champion-Clan,まだチャンピオンクランはいません,아직 챔피언 클랜이 없습니다,Ainda não há clã campeão,Aún no hay clan campeón,Henüz şampiyon klan yok,Ancora nessun clan campione
Clan.War.ClanLeaderboard.Title,لوحة صدارة العشائر,Clan Leaderboard,Classement des clans,Clan-Rangliste,クランランキング,클랜 리더보드,Classificação de clãs,Clasificación de clanes,Klan Sıralaması,Classifica dei clan
Clan.War.Day,اليوم {0},Day {0},Jour {0},Tag {0},{0}日目,{0}일 차,Dia {0},Día {0},{0}. Gün,Giorno {0}
Clan.War.DaysResults.NotConcluded,لم تُحسم بعد,Not Concluded,Non terminé,Nicht abgeschlossen,未確定,미종료,Não concluído,Sin concluir,Sonuçlanmadı,Non concluso
Clan.War.DaysResults.SectionTitle,النقاط اليومية,Daily Scores,Scores quotidiens,Tagespunkte,デイリースコア,일일 점수,Pontuações diárias,Puntuaciones diarias,Günlük Puanlar,Punteggi giornalieri
Clan.War.DaysResults.Subtitle,نقاط الحرب المكتسبة هذا الأسبوع,War Scores earned this week,Scores de guerre gagnés cette semaine,Diese Woche verdiente Kriegspunkte,今週獲得した戦争スコア,이번 주에 획득한 전쟁 점수,Pontuações de guerra obtidas nesta semana,Puntuaciones de guerra obtenidas esta semana,Bu hafta kazanılan Savaş Puanları,Punteggi guerra ottenuti questa settimana
Clan.War.DaysResults.Title,نتائج الحرب,War Results,Résultats de la guerre,Kriegsergebnisse,戦争結果,전쟁 결과,Resultados da guerra,Resultados de la guerra,Savaş Sonuçları,Risultati della guerra
Clan.War.DaysResults.Winner,الفائز,Winner,Vainqueur,Sieger,勝者,승자,Vencedor,Ganador,Kazanan,Vincitore
Clan.War.Leaderboard.Daily,يومي,Daily,Quotidien,Täglich,デイリー,일간,Diário,Diario,Günlük,Giornaliero
Clan.War.Leaderboard.DailySubheader,لوحة صدارة اليوم {0},Day {0} Leaderboard,Classement du jour {0},Rangliste – Tag {0},{0}日目ランキング,{0}일 차 리더보드,Classificação do dia {0},Clasificación del día {0},{0}. Gün Sıralaması,Classifica del giorno {0}
Clan.War.Leaderboard.DelayInfo,يتم التحديث كل دقيقة.,Updates every minute.,Mise à jour chaque minute.,Wird jede Minute aktualisiert.,毎分更新されます。,매분 업데이트됩니다.,Atualiza a cada minuto.,Se actualiza cada minuto.,Her dakika güncellenir.,Si aggiorna ogni minuto.
Clan.War.Leaderboard.Weekly,أسبوعي,Weekly,Hebdomadaire,Wöchentlich,ウィークリー,주간,Semanal,Semanal,Haftalık,Settimanale
Clan.War.Leaderboard.WeeklySubheader,لوحة الصدارة الأسبوعية,Weekly Leaderboard,Classement hebdomadaire,Wöchentliche Rangliste,ウィークリーランキング,주간 리더보드,Classificação semanal,Clasificación semanal,Haftalık Sıralama,Classifica settimanale
Clan.War.LeadershipRank.Description,اجمع نقاط المساهمة لتصل إلى القمة! تحصل العشيرة الأكثر مساهمة على حق تحدّي عشيرة البطل في حرب الأسبوع المقبل. وإذا لم تكن هناك عشيرة بطل، تتقاتل أفضل عشيرتين فيما بينهما.,"Earn Contribution Points to reach the top! The highest-contributing clan earns the right to challenge the Champion Clan in next week's war. If there is no Champion Clan, the top two clans will fight each other.","Gagnez des points de contribution pour atteindre le sommet ! Le clan qui contribue le plus gagne le droit de défier le Clan Champion lors de la guerre de la semaine prochaine. S'il n'y a pas de Clan Champion, les deux meilleurs clans s'affronteront.","Sammle Beitragspunkte, um an die Spitze zu gelangen! Der Klan mit den meisten Beiträgen erhält das Recht, den Champion-Klan im Krieg der nächsten Woche herauszufordern. Gibt es keinen Champion-Klan, kämpfen die beiden besten Klans gegeneinander.",貢献ポイントを獲得してトップを目指そう！最も貢献したクランは、来週の戦争でチャンピオンクランに挑戦する権利を得ます。チャンピオンクランがいない場合は、上位2クランが対戦します。,기여 포인트를 모아 정상에 오르세요! 가장 많이 기여한 클랜은 다음 주 전쟁에서 챔피언 클랜에 도전할 권리를 얻습니다. 챔피언 클랜이 없으면 상위 두 클랜이 서로 맞붙습니다.,"Ganhe Pontos de Contribuição para chegar ao topo! O clã que mais contribuir conquista o direito de desafiar o Clã Campeão na guerra da próxima semana. Se não houver Clã Campeão, os dois melhores clãs lutarão entre si.","¡Gana Puntos de Contribución para llegar a la cima! El clan que más contribuya obtiene el derecho a desafiar al Clan Campeón en la guerra de la próxima semana. Si no hay Clan Campeón, los dos mejores clanes se enfrentarán.","Zirveye ulaşmak için Katkı Puanı kazan! En çok katkı yapan klan, gelecek haftaki savaşta Şampiyon Klan'a meydan okuma hakkı kazanır. Şampiyon Klan yoksa, ilk iki klan birbiriyle savaşır.","Guadagna Punti Contributo per arrivare in cima! Il clan che contribuisce di più ottiene il diritto di sfidare il Clan Campione nella guerra della prossima settimana. Se non c'è un Clan Campione, i due migliori clan si affronteranno."
Clan.War.LeadershipRank.NoRankings,ستظهر الترتيبات عندما تكون الحرب نشطة.,Rankings will be displayed when war is active.,Les classements s'afficheront lorsque la guerre sera active.,"Die Ranglisten werden angezeigt, sobald der Krieg aktiv ist.",戦争が始まるとランキングが表示されます。,전쟁이 진행 중일 때 순위가 표시됩니다.,As classificações serão exibidas quando a guerra estiver ativa.,Las clasificaciones se mostrarán cuando la guerra esté activa.,Sıralamalar savaş aktif olduğunda gösterilecek.,Le classifiche verranno mostrate quando la guerra sarà attiva.
Clan.War.LeadershipRank.Title,ترتيب البطولة,Championship Ranking,Classement du championnat,Meisterschafts-Rangliste,チャンピオンシップランキング,챔피언십 순위,Classificação do campeonato,Clasificación del campeonato,Şampiyonluk Sıralaması,Classifica del campionato
Clan.War.LeadershipRank.UpdateInfo,يتم التحديث كل 10 دقائق,Updates every 10 minutes,Mis à jour toutes les 10 minutes,Wird alle 10 Minuten aktualisiert,10分ごとに更新されます,10분마다 업데이트됩니다,Atualiza a cada 10 minutos,Se actualiza cada 10 minutos,Her 10 dakikada bir güncellenir,Si aggiorna ogni 10 minuti
Clan.War.Mvp.Label,MVP,MVP,MVP,MVP,MVP,MVP,MVP,MVP,MVP,MVP
Clan.War.Mvp.NoMembers,لا يوجد أعضاء,No Members,Aucun membre,Keine Mitglieder,メンバーなし,멤버 없음,Sem membros,Sin miembros,Üye Yok,Nessun membro
Clan.War.Points,{0} نقطة,{0} pts,{0} pts,{0} Pkt.,{0} pt,{0}점,{0} pts,{0} pts,{0} puan,{0} pti
Clan.War.Progress.LeadershipTitle,حرب البطولة,Championship War,Guerre de championnat,Meisterschaftskrieg,チャンピオンシップ戦,챔피언십 전쟁,Guerra de campeonato,Guerra de campeonato,Şampiyonluk Savaşı,Guerra di campionato
Clan.War.Progress.Title,تقدّم الحرب,War Progress,Progression de la guerre,Kriegsverlauf,戦況,전쟁 현황,Progresso da guerra,Progreso de la guerra,Savaş Durumu,Andamento della guerra
Clan.War.Pvp.Defeated,هُزم {0}/{1} من اللاعبين,{0}/{1} players are defeated,{0}/{1} joueurs vaincus,{0}/{1} Spieler besiegt,{0}/{1}人のプレイヤーを撃破,{0}/{1}명의 플레이어 처치,{0}/{1} jogadores derrotados,{0}/{1} jugadores derrotados,{0}/{1} oyuncu yenildi,{0}/{1} giocatori sconfitti
Clan.War.Pvp.DefeatedButton,مهزوم,Defeated,Vaincu,Besiegt,撃破済み,처치됨,Derrotado,Derrotado,Yenildi,Sconfitto
